nycmesh-511-west, LAP-120, LiteAP AC
nycmesh-1933-east-s3, PS-5AC, PrismStation 5AC
nycmesh-3461-northwest, LAP-120, LiteAP AC
nycmesh-7489-east, LAP-120, LiteAP AC
nycmesh-1635-north, LAP-120, LiteAP AC
nycmesh-2701-gbelr-713, GBE-LR, GigaBeam LR
nycmesh-898-west, LAP-GPS, LiteAP GPS
nycmesh-5014-west, LAP-120, LiteAP AC
nycmesh-1933-east-s1, PS-5AC, PrismStation 5AC
nycmesh-1933-lbelr-1084, LBE-5AC-LR, LiteBeam 5AC Long-Range
nycmesh-295-east, LAP-120, LiteAP AC
nycmesh-1340-gbelr-5014, GBE-LR, GigaBeam LR
nycmesh-7489-south, LAP-120, LiteAP AC
nycmesh-supernode1-a1s2, R5AC-PRISM, Rocket 5AC Prism
nycmesh-1340-east, LAP-120, LiteAP AC
nycmesh-1933-east-s4, LAP-120, LiteAP AC
nycmesh-155-north, LAP-120, LiteAP AC
nycmesh-1340-south, LAP-120, LiteAP AC
nycmesh-713-af24-3461, AF24, airFiber 24
nycmesh-5916-gbepNW, GBE-Plus, GigaBeam Plus
nycmesh-511-northeast, LAP-120, LiteAP AC
nycmesh-1932-north, LAP-120, LiteAP AC
nycmesh-3461-northeast, LAP-120, LiteAP AC
nycmesh-7800-east, LAP-GPS, LiteAP GPS
nycmesh-407-north, LAP-120, LiteAP AC
nycmesh-231-west, LAP-120, LiteAP AC
nycmesh-2274-west, LAP-120, LiteAP AC
nycmesh-5916-lbe-2482, LBE-5AC-Gen2, LiteBeam 5AC
nycmesh-3606-south, LAP-120, LiteAP AC
nycmesh-713-af24-2282, AF24, airFiber 24
 nycmesh-5916-gbep1-roof (Rob's Test GBE+), GBE-Plus, GigaBeam Plus
nycmesh-1167-gbep-295, GBE-Plus, GigaBeam Plus
nycmesh-7512-southeast, LAP-120, LiteAP AC
nycmesh-383-nbe-449, NBE-5AC-19, NanoBeam 5AC 19
nycmesh-5916-east1, RP-5AC-Gen2, Rocket Prism 5AC Gen2
nycmesh-231-north, LAP-120, LiteAP AC
nycmesh-1084-gbep-1167, GBE-Plus, GigaBeam Plus
nycmesh-1971-northwest, LAP-120, LiteAP AC
nycmesh-731-south, LAP-120, LiteAP AC
nycmesh-5965-west, LAP-120, LiteAP AC
nycmesh-1340-af60lr-5916, AF60-LR, airFiber 60 LR
nycmesh-713-af60lr-1635, AF60-LR, airFiber 60 LR
nycmesh-227-af24-1932, AF24, airFiber 24
nycmesh-898-north, LAP-GPS, LiteAP GPS
nycmesh-713-lbelr-5151, LBE-5AC-LR, LiteBeam 5AC Long-Range
nycmesh-238-lbe-240, LBE-5AC-Gen2, LiteBeam 5AC
nycmesh-295-northwest, LAP-120, LiteAP AC
nycmesh-898-af60lr-7800, AF60-LR, airFiber 60 LR
nycmesh-898-gbep-135, GBE-Plus, GigaBeam Plus
nycmesh-407-lbe-1971, LBE-5AC-Gen2, LiteBeam 5AC
nycmesh-1340-north2, RP-5AC-Gen2, Rocket Prism 5AC Gen2
nycmesh-115-northwest, LAP-120, LiteAP AC
nycmesh-2274-northwest, LAP-120, LiteAP AC
nycmesh-2282-southwest, LAP-GPS, LiteAP GPS
nycmesh-317-west, LAP-120, LiteAP AC
nycmesh-5965-north, LAP-120, LiteAP AC
nycmesh-2482-nbe-6248, NBE-5AC-Gen2, NanoBeam 5AC
nycmesh-sn1-northeast, PS-5AC, PrismStation 5AC
nycmesh-7800-south, LAP-GPS, LiteAP GPS
nycmesh-1340-west1, RP-5AC-Gen2, Rocket Prism 5AC Gen2
nycmesh-5712-northeast, LAP-120, LiteAP AC
nycmesh-231-south, LAP-120, LiteAP AC
nycmesh-1635-southwest, LAP-120, LiteAP AC
nycmesh-sn3-south, LAP-120, LiteAP AC
nycmesh-5916-west1, RP-5AC-Gen2, Rocket Prism 5AC Gen2
nycmesh-2282-af60lr-713, AF60-LR, airFiber 60 LR
